,name,hx,route_zx_dis,fzxxs_base
187,DZ116路(柏悦江湾--淞沪路殷行路),5.969567203269476,2.2684167358278136,2.6316007587957606
189,DZ128路专线(五角场翔殷路--科技园),4.949903370745774,3.79795446208348,1.3033077200273637
190,DZ128路专线(科技园--五角场翔殷路),3.925059892753173,3.8398012665374615,1.0222039163741912
192,北安跨线(国康路四平路--曹安公路绿苑路),39.55138166376288,32.38004591059403,1.2214739217161688
193,北安跨线(曹安公路绿苑路--国康路四平路),38.124932551997425,32.37239014190958,1.177699032566661
194,嘉五线(南门公交站--国康路四平路),38.48872680745488,29.771183449904317,1.2928181666751506
195,嘉五线(国康路四平路--南门公交站),40.7563803682648,29.752987905850482,1.3698247885971366
196,崇明E乘巴士1号线(北区汽车站--南门水陆换乘中心),117.17715291881585,47.18399525131948,2.483408882496847
197,崇明E乘巴士1号线(崇明南门水陆换乘中心--北区汽车站),118.31793180992767,47.234121572835654,2.5049249963816904
198,春运13线(原329路)(上海火车站南广场--工农新村),20.004890873170343,13.852939135847398,1.4440899997462253
199,春运1线(原申川专线)(上海火车站(南广场)--川沙客运站),42.19754321791883,28.070515865767387,1.503269245912921
200,春运5线(原302路)(上海火车站(南广场)--宝山巴士),27.35725676373911,18.857803326341337,1.4507128052144544
201,春运8线(原308路)(上海火车站(南广场)--松花江路延吉东路),14.642056356842971,11.664739616841903,1.2552407372816388
202,春运9线(原310路)(上海火车站(北广场)--兰州路杨树浦路),16.456593369024446,8.773752997820187,1.8756618032343784
203,机场四线(上海火车站(北广场)--浦东国际机场2号航站楼),64.58607522126555,41.47073353572611,1.557389265025324
204,机场四线(浦东机场T1航站楼--上海火车站(北广场)),67.7597472176973,41.04469549805681,1.650877084004808
205,申川专线(上海火车站(南广场)--川沙客运站),42.20512838090993,28.070515865767387,1.5035394640673496
206,申川专线(川沙客运站--上海火车站(南广场)),42.42103084556527,27.9594257606108,1.5172354113698558
